"","party","answer","candidate_id","candidate_name","pct","pollster","state","harris","vote"
"91","DEM","Harris",16661,"Kamala Harris",45,"Fabrizio/GBAO","Pennsylvania",1,"no"
"92","REP","Trump",16651,"Donald Trump",46,"Fabrizio/GBAO","Pennsylvania",0,"no"
"93","DEM","Harris",16661,"Kamala Harris",46,"Fabrizio/GBAO","Pennsylvania",1,"no"
"94","REP","Trump",16651,"Donald Trump",47,"Fabrizio/GBAO","Pennsylvania",0,"no"
"95","DEM","Harris",16661,"Kamala Harris",46,"Fabrizio/GBAO","Wisconsin",1,"no"
"96","REP","Trump",16651,"Donald Trump",45,"Fabrizio/GBAO","Wisconsin",0,"no"
"97","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/GBAO","Wisconsin",1,"no"
"98","REP","Trump",16651,"Donald Trump",48,"Fabrizio/GBAO","Wisconsin",0,"no"
"99","DEM","Harris",16661,"Kamala Harris",49.3,"ActiVote","Arizona",1,"no"
"100","REP","Trump",16651,"Donald Trump",50.7,"ActiVote","Arizona",0,"yes"
"101","DEM","Harris",16661,"Kamala Harris",47,"YouGov","",1,"no"
"102","REP","Trump",16651,"Donald Trump",44,"YouGov","",0,"no"
"103","DEM","Harris",16661,"Kamala Harris",49,"YouGov","",1,"no"
"104","REP","Trump",16651,"Donald Trump",45,"YouGov","",0,"no"
"105","DEM","Harris",16661,"Kamala Harris",48.7,"SoCal Strategies","Arizona",1,"no"
"106","REP","Trump",16651,"Donald Trump",47.8,"SoCal Strategies","Arizona",0,"no"
"107","DEM","Harris",16661,"Kamala Harris",51,"Research Co.","Michigan",1,"yes"
"108","REP","Trump",16651,"Donald Trump",48,"Research Co.","Michigan",0,"no"
"109","DEM","Harris",16661,"Kamala Harris",50,"Research Co.","Pennsylvania",1,"yes"
"110","REP","Trump",16651,"Donald Trump",49,"Research Co.","Pennsylvania",0,"no"
"111","DEM","Harris",16661,"Kamala Harris",50,"Research Co.","Wisconsin",1,"yes"
"112","REP","Trump",16651,"Donald Trump",48,"Research Co.","Wisconsin",0,"no"
"113","DEM","Harris",16661,"Kamala Harris",42,"Ipsos","",1,"no"
"114","REP","Trump",16651,"Donald Trump",38,"Ipsos","",0,"no"
"115","DEM","Harris",16661,"Kamala Harris",46,"Ipsos","",1,"no"
"116","REP","Trump",16651,"Donald Trump",43,"Ipsos","",0,"no"
"117","DEM","Harris",16661,"Kamala Harris",47,"Ipsos","",1,"no"
"118","REP","Trump",16651,"Donald Trump",45,"Ipsos","",0,"no"
"119","DEM","Harris",16661,"Kamala Harris",48,"Ipsos","",1,"no"
"120","REP","Trump",16651,"Donald Trump",47,"Ipsos","",0,"no"
"121","DEM","Harris",16661,"Kamala Harris",50,"Ipsos","",1,"yes"
"122","REP","Trump",16651,"Donald Trump",48,"Ipsos","",0,"no"
"123","DEM","Harris",16661,"Kamala Harris",51,"Ipsos","",1,"yes"
"124","REP","Trump",16651,"Donald Trump",49,"Ipsos","",0,"no"
"125","DEM","Harris",16661,"Kamala Harris",47,"Quinnipiac","Michigan",1,"no"
"126","REP","Trump",16651,"Donald Trump",50,"Quinnipiac","Michigan",0,"yes"
"127","DEM","Harris",16661,"Kamala Harris",47,"Quinnipiac","Michigan",1,"no"
"128","REP","Trump",16651,"Donald Trump",51,"Quinnipiac","Michigan",0,"yes"
"129","DEM","Harris",16661,"Kamala Harris",49,"Quinnipiac","Pennsylvania",1,"no"
"130","REP","Trump",16651,"Donald Trump",46,"Quinnipiac","Pennsylvania",0,"no"
"131","DEM","Harris",16661,"Kamala Harris",49,"Quinnipiac","Pennsylvania",1,"no"
"132","REP","Trump",16651,"Donald Trump",47,"Quinnipiac","Pennsylvania",0,"no"
"133","DEM","Harris",16661,"Kamala Harris",46,"Quinnipiac","Wisconsin",1,"no"
"134","REP","Trump",16651,"Donald Trump",48,"Quinnipiac","Wisconsin",0,"no"
"135","DEM","Harris",16661,"Kamala Harris",47,"Quinnipiac","Wisconsin",1,"no"
"136","REP","Trump",16651,"Donald Trump",49,"Quinnipiac","Wisconsin",0,"no"
"137","DEM","Harris",16661,"Kamala Harris",47,"Marist","Florida",1,"no"
"138","REP","Trump",16651,"Donald Trump",51,"Marist","Florida",0,"yes"
"139","DEM","Harris",16661,"Kamala Harris",47,"Marist","Florida",1,"no"
"140","REP","Trump",16651,"Donald Trump",51,"Marist","Florida",0,"yes"
"141","DEM","Harris",16661,"Kamala Harris",46,"Marist","Texas",1,"no"
"142","REP","Trump",16651,"Donald Trump",52,"Marist","Texas",0,"yes"
"143","DEM","Harris",16661,"Kamala Harris",46,"Marist","Texas",1,"no"
"144","REP","Trump",16651,"Donald Trump",53,"Marist","Texas",0,"yes"
"145","DEM","Harris",16661,"Kamala Harris",46,"Marist","Ohio",1,"no"
"146","REP","Trump",16651,"Donald Trump",52,"Marist","Ohio",0,"yes"
"147","DEM","Harris",16661,"Kamala Harris",46,"Marist","Ohio",1,"no"
"148","REP","Trump",16651,"Donald Trump",52,"Marist","Ohio",0,"yes"
"149","DEM","Harris",16661,"Kamala Harris",45,"The Washington Post","Ohio",1,"no"
"150","REP","Trump",16651,"Donald Trump",51,"The Washington Post","Ohio",0,"yes"
"151","DEM","Harris",16661,"Kamala Harris",44,"The Washington Post","Ohio",1,"no"
"152","REP","Trump",16651,"Donald Trump",51,"The Washington Post","Ohio",0,"yes"
"153","DEM","Harris",16661,"Kamala Harris",47.4,"Hunt Research","Pennsylvania",1,"no"
"154","REP","Trump",16651,"Donald Trump",48.4,"Hunt Research","Pennsylvania",0,"no"
"155","DEM","Harris",16661,"Kamala Harris",46.6,"Hunt Research","Pennsylvania",1,"no"
"156","REP","Trump",16651,"Donald Trump",46.8,"Hunt Research","Pennsylvania",0,"no"
"157","DEM","Harris",16661,"Kamala Harris",47.72,"Redfield & Wilton Strategies","",1,"no"
"158","REP","Trump",16651,"Donald Trump",45.99,"Redfield & Wilton Strategies","",0,"no"
"159","DEM","Harris",16661,"Kamala Harris",49,"Research Co.","",1,"no"
"160","REP","Trump",16651,"Donald Trump",45,"Research Co.","",0,"no"
"161","DEM","Harris",16661,"Kamala Harris",51,"Morning Consult","",1,"yes"
"162","REP","Trump",16651,"Donald Trump",46,"Morning Consult","",0,"no"
"163","DEM","Harris",16661,"Kamala Harris",45,"Florida Atlantic University/Mainstreet Research","Texas",1,"no"
"164","REP","Trump",16651,"Donald Trump",50,"Florida Atlantic University/Mainstreet Research","Texas",0,"yes"
"165","DEM","Harris",16661,"Kamala Harris",45,"Florida Atlantic University/Mainstreet Research","Texas",1,"no"
"166","REP","Trump",16651,"Donald Trump",50,"Florida Atlantic University/Mainstreet Research","Texas",0,"yes"
"167","DEM","Harris",16661,"Kamala Harris",47,"Arc Insights","Wisconsin",1,"no"
"168","REP","Trump",16651,"Donald Trump",48,"Arc Insights","Wisconsin",0,"no"
"169","DEM","Harris",16661,"Kamala Harris",48,"Pew","",1,"no"
"170","REP","Trump",16651,"Donald Trump",47,"Pew","",0,"no"
"171","DEM","Harris",16661,"Kamala Harris",50,"Pew","",1,"yes"
"172","REP","Trump",16651,"Donald Trump",49,"Pew","",0,"no"
"173","DEM","Harris",16661,"Kamala Harris",49,"Siena/NYT","",1,"no"
"174","REP","Trump",16651,"Donald Trump",46,"Siena/NYT","",0,"no"
"175","DEM","Harris",16661,"Kamala Harris",47,"Siena/NYT","",1,"no"
"176","REP","Trump",16651,"Donald Trump",44,"Siena/NYT","",0,"no"
"177","DEM","Harris",16661,"Kamala Harris",41,"Siena/NYT","Florida",1,"no"
"178","REP","Trump",16651,"Donald Trump",55,"Siena/NYT","Florida",0,"yes"
"179","DEM","Harris",16661,"Kamala Harris",40,"Siena/NYT","Florida",1,"no"
"180","REP","Trump",16651,"Donald Trump",53,"Siena/NYT","Florida",0,"yes"
"181","DEM","Harris",16661,"Kamala Harris",41,"Siena/NYT","Florida",1,"no"
"182","REP","Trump",16651,"Donald Trump",54,"Siena/NYT","Florida",0,"yes"
"183","DEM","Harris",16661,"Kamala Harris",40,"Siena/NYT","Florida",1,"no"
"184","REP","Trump",16651,"Donald Trump",53,"Siena/NYT","Florida",0,"yes"
"185","DEM","Harris",16661,"Kamala Harris",47,"ActiVote","Florida",1,"no"
"186","REP","Trump",16651,"Donald Trump",53,"ActiVote","Florida",0,"yes"
"187","DEM","Harris",16661,"Kamala Harris",50.8,"ActiVote","North Carolina",1,"yes"
"188","REP","Trump",16651,"Donald Trump",49.2,"ActiVote","North Carolina",0,"no"
"189","DEM","Harris",16661,"Kamala Harris",51,"Morning Consult","",1,"yes"
"190","REP","Trump",16651,"Donald Trump",45,"Morning Consult","",0,"no"
"191","DEM","Harris",16661,"Kamala Harris",61.2,"Suffolk","Massachusetts",1,"yes"
"192","REP","Trump",16651,"Donald Trump",32.2,"Suffolk","Massachusetts",0,"no"
"193","DEM","Harris",16661,"Kamala Harris",58.8,"ActiVote","Illinois",1,"yes"
"194","REP","Trump",16651,"Donald Trump",41.2,"ActiVote","Illinois",0,"no"
"195","DEM","Harris",16661,"Kamala Harris",49,"TIPP","",1,"no"
"196","REP","Trump",16651,"Donald Trump",46,"TIPP","",0,"no"
"197","DEM","Harris",16661,"Kamala Harris",48,"TIPP","",1,"no"
"198","REP","Trump",16651,"Donald Trump",45,"TIPP","",0,"no"
"199","DEM","Harris",16661,"Kamala Harris",46,"YouGov","",1,"no"
"200","REP","Trump",16651,"Donald Trump",45,"YouGov","",0,"no"
"201","DEM","Harris",16661,"Kamala Harris",47,"YouGov","",1,"no"
"202","REP","Trump",16651,"Donald Trump",47,"YouGov","",0,"no"
"203","DEM","Harris",16661,"Kamala Harris",48,"YouGov","",1,"no"
"204","REP","Trump",16651,"Donald Trump",46,"YouGov","",0,"no"
"205","DEM","Harris",16661,"Kamala Harris",48,"YouGov","",1,"no"
"206","REP","Trump",16651,"Donald Trump",47,"YouGov","",0,"no"
"207","DEM","Harris",16661,"Kamala Harris",44.5,"Big Village","",1,"no"
"208","REP","Trump",16651,"Donald Trump",41.5,"Big Village","",0,"no"
"209","DEM","Harris",16661,"Kamala Harris",48.7,"Big Village","",1,"no"
"210","REP","Trump",16651,"Donald Trump",44.6,"Big Village","",0,"no"
"211","DEM","Harris",16661,"Kamala Harris",49.9,"Big Village","",1,"no"
"212","REP","Trump",16651,"Donald Trump",46.4,"Big Village","",0,"no"
"213","DEM","Harris",16661,"Kamala Harris",51,"Morning Consult","",1,"yes"
"214","REP","Trump",16651,"Donald Trump",45,"Morning Consult","",0,"no"
"215","DEM","Harris",16661,"Kamala Harris",49,"Noble Predictive Insights","",1,"no"
"216","REP","Trump",16651,"Donald Trump",46,"Noble Predictive Insights","",0,"no"
"217","DEM","Harris",16661,"Kamala Harris",49,"Noble Predictive Insights","",1,"no"
"218","REP","Trump",16651,"Donald Trump",47,"Noble Predictive Insights","",0,"no"
"219","DEM","Harris",16661,"Kamala Harris",46.8,"Glengariff Group Inc.","Michigan",1,"no"
"220","REP","Trump",16651,"Donald Trump",44.2,"Glengariff Group Inc.","Michigan",0,"no"
"221","DEM","Harris",16661,"Kamala Harris",44,"Siena/NYT","Texas",1,"no"
"222","REP","Trump",16651,"Donald Trump",50,"Siena/NYT","Texas",0,"yes"
"223","DEM","Harris",16661,"Kamala Harris",42,"Siena/NYT","Texas",1,"no"
"224","REP","Trump",16651,"Donald Trump",49,"Siena/NYT","Texas",0,"no"
"225","DEM","Harris",16661,"Kamala Harris",44,"Siena/NYT","Texas",1,"no"
"226","REP","Trump",16651,"Donald Trump",50,"Siena/NYT","Texas",0,"yes"
"227","DEM","Harris",16661,"Kamala Harris",41,"Siena/NYT","Texas",1,"no"
"228","REP","Trump",16651,"Donald Trump",48,"Siena/NYT","Texas",0,"no"
"229","DEM","Harris",16661,"Kamala Harris",52,"Christopher Newport U.","Virginia",1,"yes"
"230","REP","Trump",16651,"Donald Trump",41,"Christopher Newport U.","Virginia",0,"no"
"231","DEM","Harris",16661,"Kamala Harris",49,"Data for Progress","",1,"no"
"232","REP","Trump",16651,"Donald Trump",46,"Data for Progress","",0,"no"
"233","DEM","Harris",16661,"Kamala Harris",47.2,"Cygnal","",1,"no"
"234","REP","Trump",16651,"Donald Trump",44.5,"Cygnal","",0,"no"
"235","DEM","Harris",16661,"Kamala Harris",50.3,"Cygnal","",1,"yes"
"236","REP","Trump",16651,"Donald Trump",47,"Cygnal","",0,"no"
"237","DEM","Harris",16661,"Kamala Harris",50,"Morning Consult","",1,"yes"
"238","REP","Trump",16651,"Donald Trump",45,"Morning Consult","",0,"no"
"239","DEM","Harris",16661,"Kamala Harris",38,"Impact Research","Nebraska",1,"no"
"240","REP","Trump",16651,"Donald Trump",58,"Impact Research","Nebraska",0,"yes"
"241","DEM","Harris",16661,"Kamala Harris",49,"RMG Research","",1,"no"
"242","REP","Trump",16651,"Donald Trump",49,"RMG Research","",0,"no"
"243","DEM","Harris",16661,"Kamala Harris",49,"RMG Research","Nevada",1,"no"
"244","REP","Trump",16651,"Donald Trump",49,"RMG Research","Nevada",0,"no"
"245","DEM","Harris",16661,"Kamala Harris",51,"St. Anselm","New Hampshire",1,"yes"
"246","REP","Trump",16651,"Donald Trump",44,"St. Anselm","New Hampshire",0,"no"
"247","DEM","Harris",16661,"Kamala Harris",46,"RMG Research","Arizona",1,"no"
"248","REP","Trump",16651,"Donald Trump",50,"RMG Research","Arizona",0,"yes"
"249","DEM","Harris",16661,"Kamala Harris",50,"Morning Consult","",1,"yes"
"250","REP","Trump",16651,"Donald Trump",45,"Morning Consult","",0,"no"
"251","DEM","Harris",16661,"Kamala Harris",47,"Redfield & Wilton Strategies","Arizona",1,"no"
"252","REP","Trump",16651,"Donald Trump",48,"Redfield & Wilton Strategies","Arizona",0,"no"
"253","DEM","Harris",16661,"Kamala Harris",45,"Redfield & Wilton Strategies","Florida",1,"no"
"254","REP","Trump",16651,"Donald Trump",49,"Redfield & Wilton Strategies","Florida",0,"no"
"255","DEM","Harris",16661,"Kamala Harris",47,"Redfield & Wilton Strategies","Georgia",1,"no"
"256","REP","Trump",16651,"Donald Trump",47,"Redfield & Wilton Strategies","Georgia",0,"no"
"257","DEM","Harris",16661,"Kamala Harris",48,"Redfield & Wilton Strategies","Michigan",1,"no"
"258","REP","Trump",16651,"Donald Trump",46,"Redfield & Wilton Strategies","Michigan",0,"no"
"259","DEM","Harris",16661,"Kamala Harris",51,"Redfield & Wilton Strategies","Minnesota",1,"yes"
"260","REP","Trump",16651,"Donald Trump",43,"Redfield & Wilton Strategies","Minnesota",0,"no"
"261","DEM","Harris",16661,"Kamala Harris",48,"Redfield & Wilton Strategies","Nevada",1,"no"
"262","REP","Trump",16651,"Donald Trump",47,"Redfield & Wilton Strategies","Nevada",0,"no"
"263","DEM","Harris",16661,"Kamala Harris",45,"Redfield & Wilton Strategies","North Carolina",1,"no"
"264","REP","Trump",16651,"Donald Trump",47,"Redfield & Wilton Strategies","North Carolina",0,"no"
"265","DEM","Harris",16661,"Kamala Harris",48,"Redfield & Wilton Strategies","Pennsylvania",1,"no"
"266","REP","Trump",16651,"Donald Trump",47,"Redfield & Wilton Strategies","Pennsylvania",0,"no"
"267","DEM","Harris",16661,"Kamala Harris",47,"Redfield & Wilton Strategies","Wisconsin",1,"no"
"268","REP","Trump",16651,"Donald Trump",46,"Redfield & Wilton Strategies","Wisconsin",0,"no"
"269","DEM","Harris",16661,"Kamala Harris",50.7,"ActiVote","",1,"yes"
"270","REP","Trump",16651,"Donald Trump",49.3,"ActiVote","",0,"no"
"271","DEM","Harris",16661,"Kamala Harris",46.8,"YouGov/Center for Working Class Politics","Pennsylvania",1,"no"
"272","REP","Trump",16651,"Donald Trump",44.7,"YouGov/Center for Working Class Politics","Pennsylvania",0,"no"
"273","DEM","Harris",16661,"Kamala Harris",45,"OnMessage Inc.","Arizona",1,"no"
"274","REP","Trump",16651,"Donald Trump",47,"OnMessage Inc.","Arizona",0,"no"
"275","DEM","Harris",16661,"Kamala Harris",44,"OnMessage Inc.","Georgia",1,"no"
"276","REP","Trump",16651,"Donald Trump",47,"OnMessage Inc.","Georgia",0,"no"
"277","DEM","Harris",16661,"Kamala Harris",48,"OnMessage Inc.","Michigan",1,"no"
"278","REP","Trump",16651,"Donald Trump",46,"OnMessage Inc.","Michigan",0,"no"
"279","DEM","Harris",16661,"Kamala Harris",45,"OnMessage Inc.","Nevada",1,"no"
"280","REP","Trump",16651,"Donald Trump",47,"OnMessage Inc.","Nevada",0,"no"
"281","DEM","Harris",16661,"Kamala Harris",46,"OnMessage Inc.","Pennsylvania",1,"no"
"282","REP","Trump",16651,"Donald Trump",46,"OnMessage Inc.","Pennsylvania",0,"no"
"283","DEM","Harris",16661,"Kamala Harris",46,"OnMessage Inc.","Wisconsin",1,"no"
"284","REP","Trump",16651,"Donald Trump",47,"OnMessage Inc.","Wisconsin",0,"no"
"285","DEM","Harris",16661,"Kamala Harris",56,"ActiVote","New Jersey",1,"yes"
"286","REP","Trump",16651,"Donald Trump",44,"ActiVote","New Jersey",0,"no"
"287","DEM","Harris",16661,"Kamala Harris",48,"YouGov","",1,"no"
"288","REP","Trump",16651,"Donald Trump",45,"YouGov","",0,"no"
"289","DEM","Harris",16661,"Kamala Harris",49,"YouGov","",1,"no"
"290","REP","Trump",16651,"Donald Trump",46,"YouGov","",0,"no"
"291","DEM","Harris",16661,"Kamala Harris",50.2,"Emerson","",1,"yes"
"292","REP","Trump",16651,"Donald Trump",48.6,"Emerson","",0,"no"
"293","DEM","Harris",16661,"Kamala Harris",50,"Morning Consult","",1,"yes"
"294","REP","Trump",16651,"Donald Trump",46,"Morning Consult","",0,"no"
"295","DEM","Harris",16661,"Kamala Harris",42,"Bullfinch","Nebraska",1,"no"
"296","REP","Trump",16651,"Donald Trump",53,"Bullfinch","Nebraska",0,"yes"
"297","DEM","Harris",16661,"Kamala Harris",50,"Marist","",1,"yes"
"298","REP","Trump",16651,"Donald Trump",48,"Marist","",0,"no"
"299","DEM","Harris",16661,"Kamala Harris",50,"Marist","",1,"yes"
"300","REP","Trump",16651,"Donald Trump",47,"Marist","",0,"no"
"301","DEM","Harris",16661,"Kamala Harris",57,"UC Berkeley","California",1,"yes"
"302","REP","Trump",16651,"Donald Trump",35,"UC Berkeley","California",0,"no"
"303","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/Impact","Arizona",1,"no"
"304","REP","Trump",16651,"Donald Trump",49,"Fabrizio/Impact","Arizona",0,"no"
"305","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/Impact","Arizona",1,"no"
"306","REP","Trump",16651,"Donald Trump",50,"Fabrizio/Impact","Arizona",0,"yes"
"307","DEM","Harris",16661,"Kamala Harris",49,"Susquehanna","",1,"no"
"308","REP","Trump",16651,"Donald Trump",44,"Susquehanna","",0,"no"
"309","DEM","Harris",16661,"Kamala Harris",48,"Mitchell","Michigan",1,"no"
"310","REP","Trump",16651,"Donald Trump",49,"Mitchell","Michigan",0,"no"
"311","DEM","Harris",16661,"Kamala Harris",47,"Mitchell","Michigan",1,"no"
"312","REP","Trump",16651,"Donald Trump",47,"Mitchell","Michigan",0,"no"
"313","DEM","Harris",16661,"Kamala Harris",47.7,"InsiderAdvantage","Arizona",1,"no"
"314","REP","Trump",16651,"Donald Trump",49.1,"InsiderAdvantage","Arizona",0,"no"
"315","DEM","Harris",16661,"Kamala Harris",48.4,"InsiderAdvantage","Nevada",1,"no"
